"Collection Name","Title#1","Subtitle#1","Uniform Title#1","Alternative Title#1","Alternative Title#1$2","Alternative Title#1$1","Alternative Title#1$3","Non Sort#1","Title Part Number#1","Name Part#1","Name Part Date#1","Name Role Term Text#1","Name Type#1","Name Authority#1","Name Part#2","Name Part Date#2","Name Role Term Text#2","Name Type#2","Name Authority#2","Name Part#3","Name Part Date#3","Name Role Term Text#3","Name Type#3","Name Authority#3","Name Part#4","Name Part Date#4","Name Role Term Text#4","Name Type#4","Name Authority#4","Name Part#5","Name Part Date#5","Name Part#6","Name Part#7","Name Part Date#7","Type of Resource#1","Place Term#1","Place Term#1$1","Place Term#1$2","Place Term#1$3","Place Term Type#1","Place Term Authority#1","Publisher#1","Publisher#1$1","Publisher#1$5","Publisher#1$4","Publisher#1$3","Publisher#1$2","Date Issued#1","Date Issued Encoding#1","Date Created#1","Date Created Encoding#1","Edition#1","Issuance#1","Place Term#2$1","Place Term#2$2","Place Term#2","Place Term Type#2","Place Term Authority#2","Publisher#2","Publisher#2$2","Publisher#2$1","Date Issued#2","Date Issued Encoding#2","Date Created#2","Date Created Encoding#2","Edition#2","Issuance#2","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Form#1","Form Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Abstract#1","Table of Contents#1","Note#1$6","Note#1$7","Note#1$4","Note#1$5","Note#1$2","Note#1$3","Note#1$1","Note#1","Note Type#1","Note#2","Note#2$9","Note#2$7","Note#2$8","Note#2$5","Note#2$6","Note#2$3","Note#2$4","Note#2$1","Note#2$2","Note Type#2","Note#3","Note#3$6","Note#3$4","Note#3$5","Note#3$2","Note#3$3","Note#3$1","Note Type#3","Note#4$3","Note#4$4","Note#4$1","Note#4$2","Note#4","Note Type#4","Note#5","Note Type#5","Note#6","Note#7","Note#8","Subject Topic#1","Subject Authority#1","Subject Geographic#1","Subject Geographic Authority#1","Subject Temporal#1","Subject Name#1$1","Subject Name#1$2","Subject Name#1$3","Subject Name#1","Subject Geographic Code#1","Subject Geographic Code Authority#1","Subject Topic#2","Subject Authority#2","Subject Geographic#2","Subject Geographic Authority#2","Subject Temporal#2","Subject Temporal Authority#2","Subject Name#2","Subject Geographic Code#2","Subject Geographic Code Authority#2","Subject Topic#3","Subject Authority#3","Subject Geographic#3","Subject Name#3","Subject Topic#4","Subject Authority#4","Subject Geographic#4","Subject Topic#5","Subject Authority#5","Classification#1","Classification Authority#1","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item Identifier URI#1","Identifier#1","Physical Location#1","Physical Location Type#1","Access Condition#1","Scanning technician#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Women Poets of the Romantic Period","A collection of poems","chiefly manuscript, and from living authors","","","Sir Eldred of the Bower","Bleeding rock","","","","Baillie, Joanna","1762-1851,","editor","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Longman, Hurst, Rees, Orme, and Brown,","","","1823","marc","1823","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","1 p. ℓ., xliv, 330 p. 22 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/372.htm","","","","","","","","Ed. for the benefit of a friend, by Joanna Baillie","Statement of responsibility","Subscribers' names: p. [ix]-xliv","","","","","","","","","","Bibliography","","","","","","","","","","","","","","","","","","","","English poetry","lcsh","","","","","","","","","","","","Great Britain","lcsh","19th century","lcsh","","","","","","","","","","","","","WPRP 372","local","","","","","b3764564x","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","480512","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~480512~"
"Women Poets of the Romantic Period","A country carpenter's confession of faith","with a few plain remarks on the Age of reason [by Thomas Paine]. In a letter from Will Chip [pseud.], carpenter, in Somersetshire, to Thomas Pain, stay-maker, in Paris","","","","","","","","More, Hannah","1745-1833,","attributed author","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Printed for F. and C. Rivington,","","","1794","marc","1794","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","24 p. 16 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/120.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Paine, Thomas","","","","","","","","","","","","","","","","","","","","","WPRP 120","local","","","","","b36226609","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","478826","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~478826~"
"Women Poets of the Romantic Period","A legacy for young ladies","consisting of miscellaneous pieces, in prose and verse","","","","","","legacy for young ladies","","Aikin, Lucy","1781-1864","","personal","naf","Barbauld, (Anna Letitia)","1743-1825","","personal","naf","","","","","","","","","","","","","","","","Language material","mau","","","","code","marccountry","","","","","","","","","","","","","","","Boston","text","","Published by David Reed,","","","1826","marc","1826","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","viii, 151, [1] p. ; 18 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/103.htm","","","","","","","","by the late Mrs. Barbauld","Statement of responsibility","","","","","","","Posthumous publication edited by Lucy Aikin; her preface dated Dec. 1825","","Cf. Osborne Coll., p. 1042","Errata on p. [152]","","","","","","","","","","","","","","","","","","","","","Moral education","lcsh","","","","","","","","","","Women--Education--Miscellanea","lcsh","","","","","","","","","","","","","","","","","WPRP 103","local","","","","","b36038842","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","478036","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b36038842_0007.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~478036~130339"
"Women Poets of the Romantic Period","A letter to a friend","with a poem called the Ghost of Werter","","Fight of Falkirk","","","","","","Wallace, (Eglantine)","d. 1803","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","Hookham","","","[1787?]","marc","1787","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","26 p","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/148.htm","","","","","","","","By Lady ---","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 148","local","","","","","b27424170","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475362","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475362~"
"Women Poets of the Romantic Period","A Miscellaneous collection","consisting of an original letter from the pen of Columbus, never before published; some original poetry, and detached pieces of prose; interspersed with a few neat selections","","","","","","","","M. H","","","personal","naf","A gentleman of the Inner Temple","","","personal","naf","","","","","","","","","","","","","","","","Language material","London","","","","text","","Printed for the editor, by T. Davison, sold by J. Ginger,","","","","","","1803","marc","1803","marc","","Monograph/item","","","enk","code","marccountry","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","6 p. ℓ., 132, [4] p. 27.5 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/282.htm","","","","","","","","The whole rev. and cor. by a gentleman of the Inner Temple","Statement of responsibility","Special Collections copy has half title page and subscribers' list at the end","","","","","","","","","","local","","","","","Dedication signed: M. H","","""The Poems, with some few exceptions, are the juvenile production of various friends""- Pref","","","","","","","","","","","","","English literature","lcsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 282","local","","","","","b33745171","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","477102","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~477102~"
"Women Poets of the Romantic Period","A narrative of the events which have taken place in France","from the landing of Napoleon Bonaparte on the first of March, 1815, till the restoration of Louis XVIII. With an account of the present state of society and public opinion.","","","","","","","","Williams, Helen Maria","1762-1827","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","pau","","","","code","marccountry","","","","","","","","","","","","","","","Philadelphia","text","","Published by Moses Thomas.","","","1816","marc","1816","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","1 p. ., 247 p. 17 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/099.htm","","","","","","","","By Helen Maria Williams","Statement of responsibility","[With Rocca, A. J. M. Memoirs of the War of the French in Spain ... From the 2d London ed. Boston, 1816. Copy 2]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Great Britain","lcsh","","","","","Napoleon","","","","","","","","","","","","","","","","","","","","","WPRP 99","local","","","","","b26536729","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","474740","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~474740~"
"Women Poets of the Romantic Period","A narrative of the events which have taken place in France ...","with an account of the present state of society and public opinion","","","","","","","","Williams, Helen Maria","1762-1827","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","enk","","","","code","marccountry","","","","","","","","","","","","","","","London,","text","","J. Murray,","","","1815","marc","1815","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","1 p. ℓ., 390 p. 22 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/179.htm","","","","","","","","By Helen Maria Williams","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","South Carolina","lcsh","","","","","Napoleon","e-fr---","marcgac","","","","","","","","","","","","","","","","","","","WPRP 179","local","","","","","b28150788","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","475843","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~475843~"
"Women Poets of the Romantic Period","A new memoir of Hannah More, or, Life in hall and cottage","","","","","","","","","Knight, Helen C. (Helen Cross)","1814-1906","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","nyu","","","","code","marccountry","","","","","","","","","","","","","","","New York","text","","M.W. Dodd, 1856","","","","marc","1856","marc","","Monograph/item","English","eng","iso639-2b","electronic","marcform","tiff","311 p. : port. ; 20 cm","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/327.htm","","","","","","","","by Mrs. Helen C. Knight","Statement of responsibility","Added title-page, engraved, with vignette","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","More, Hannah","","","","","","","","","","","","","","","","","","","","","WPRP 327","local","","","","","b3585960x","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","477895","","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~477895~"
"Women Poets of the Romantic Period","A new selection of miscellaneous pieces","","","","Gems of flowers and poetry","Flora and Thalia","","new selection of miscellaneous pieces","","Gray, Christian","","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","Perth","","","","text","","R. Morison,","","","","","","1821","marc","","","","Monograph/item","","","","","","","","","","","","","","","","","","electronic","marcform","tiff","","reformatted digital","","http://ucblibraries.colorado.edu/specialcollections/collections/wprp/items/342.htm","","","","","","","","","Statement of responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WPRP 342.htm","local","","","","","b36897140","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","479997","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1602/b36897140_0005.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~479997~130440"
"Women Poets of the Romantic Period","A poem on the pleasures and advantages of botanical pursuits, with notes, and other poems","","","","","","","poem on the pleasures and advantages of botanical pursuits, with notes, and other poems","","Hoare, Sarah","1767-1855","","personal","naf","","","","","","","","","","","","","","","","","","","","","Language material","Bristol","","","","text","","Printed by Philip Rose","","","","","","[1825?]","","1825","","","Monograph/item","","","","","","","","","","","","","","","English","eng","iso639-2b","electronic","marcform","tiff","xi, 134 p. ; 20 cm","reformatted digital","","","","","","","","","","by a friend to youth, addressed to her pupils","Statement of responsibility","Smith I: 955","","","","","","","","","","Bibliography","","","","","","","","","","","","","","","","","","","","English poetry--Quaker authors","lcsh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b65932419","UCB Libraries Special Collections","current","Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. In addition, the reproduction of some materials may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. Works not in the public domain cannot be used commercially without permission of the copyright owner. Responsibility for any use rests exclusively with the user.","Djiganian, Gor","481745","","http://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size0/UCBOULDERCB1-65-NA/1591/b65932419_0005.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~65~65~481745~130355"
